"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2015","Quintile 1","18","Northern Ireland","Woman","550","2420","0.229"
"2016","Quintile 1","18","Northern Ireland","Woman","540","2390","0.227"
"2017","Quintile 1","18","Northern Ireland","Woman","600","2390","0.251"
"2018","Quintile 1","18","Northern Ireland","Woman","510","2260","0.227"
"2019","Quintile 1","18","Northern Ireland","Woman","540","2220","0.241"
"2020","Quintile 1","18","Northern Ireland","Woman","590","2220","0.268"
"2021","Quintile 1","18","Northern Ireland","Woman","680","2240","0.303"
"2022","Quintile 1","18","Northern Ireland","Woman","650","2270","0.28700000000000003"
"2023","Quintile 1","18","Northern Ireland","Woman","680","2300","0.297"
"2024","Quintile 1","18","Northern Ireland","Woman","680","2320","0.294"
"2015","Quintile 1","18","England","Woman","15830","69560","0.228"
"2016","Quintile 1","18","England","Woman","16150","66820","0.242"
"2017","Quintile 1","18","England","Woman","16800","66420","0.253"
"2018","Quintile 1","18","England","Woman","16900","65220","0.259"
"2019","Quintile 1","18","England","Woman","17980","64840","0.277"
"2020","Quintile 1","18","England","Woman","19310","63950","0.302"
"2021","Quintile 1","18","England","Woman","21640","66260","0.327"
"2022","Quintile 1","18","England","Woman","22080","68450","0.323"
"2023","Quintile 1","18","England","Woman","21810","71490","0.305"
"2024","Quintile 1","18","England","Woman","22750","72740","0.313"
"2015","Quintile 1","18","Scotland","Woman","750","5950","0.127"
"2016","Quintile 1","18","Scotland","Woman","830","5750","0.145"
"2017","Quintile 1","18","Scotland","Woman","880","5630","0.156"
"2018","Quintile 1","18","Scotland","Woman","920","5620","0.164"
"2019","Quintile 1","18","Scotland","Woman","960","5530","0.17300000000000001"
"2020","Quintile 1","18","Scotland","Woman","1020","5430","0.187"
"2021","Quintile 1","18","Scotland","Woman","1190","5300","0.225"
"2022","Quintile 1","18","Scotland","Woman","1220","5600","0.217"
"2023","Quintile 1","18","Scotland","Woman","1130","5760","0.196"
"2024","Quintile 1","18","Scotland","Woman","1270","5900","0.216"
"2015","Quintile 1","18","Wales","Woman","730","3890","0.187"
"2016","Quintile 1","18","Wales","Woman","760","3810","0.201"
"2017","Quintile 1","18","Wales","Woman","760","3680","0.20600000000000002"
"2018","Quintile 1","18","Wales","Woman","770","3500","0.219"
"2019","Quintile 1","18","Wales","Woman","720","3480","0.20800000000000002"
"2020","Quintile 1","18","Wales","Woman","770","3310","0.233"
"2021","Quintile 1","18","Wales","Woman","900","3430","0.263"
"2022","Quintile 1","18","Wales","Woman","910","3570","0.254"
"2023","Quintile 1","18","Wales","Woman","840","3790","0.222"
"2024","Quintile 1","18","Wales","Woman","800","3770","0.213"
"2015","Quintile 2","18","Northern Ireland","Woman","840","2550","0.33"
"2016","Quintile 2","18","Northern Ireland","Woman","900","2500","0.361"
"2017","Quintile 2","18","Northern Ireland","Woman","870","2470","0.352"
"2018","Quintile 2","18","Northern Ireland","Woman","790","2330","0.34"
"2019","Quintile 2","18","Northern Ireland","Woman","800","2290","0.34700000000000003"
"2020","Quintile 2","18","Northern Ireland","Woman","880","2300","0.384"
"2021","Quintile 2","18","Northern Ireland","Woman","1050","2310","0.452"
"2022","Quintile 2","18","Northern Ireland","Woman","1010","2330","0.431"
"2023","Quintile 2","18","Northern Ireland","Woman","1040","2380","0.438"
"2024","Quintile 2","18","Northern Ireland","Woman","1030","2430","0.422"
"2015","Quintile 2","18","England","Woman","18110","62120","0.292"
"2016","Quintile 2","18","England","Woman","18430","60550","0.304"
"2017","Quintile 2","18","England","Woman","18910","60070","0.315"
"2018","Quintile 2","18","England","Woman","18860","58260","0.324"
"2019","Quintile 2","18","England","Woman","19560","57550","0.34"
"2020","Quintile 2","18","England","Woman","20470","57070","0.359"
"2021","Quintile 2","18","England","Woman","22820","58380","0.391"
"2022","Quintile 2","18","England","Woman","22870","59960","0.381"
"2023","Quintile 2","18","England","Woman","22690","62230","0.365"
"2024","Quintile 2","18","England","Woman","23280","62940","0.37"
"2015","Quintile 2","18","Scotland","Woman","1200","5490","0.218"
"2016","Quintile 2","18","Scotland","Woman","1250","5200","0.24"
"2017","Quintile 2","18","Scotland","Woman","1230","5190","0.23800000000000002"
"2018","Quintile 2","18","Scotland","Woman","1210","5200","0.233"
"2019","Quintile 2","18","Scotland","Woman","1120","4920","0.228"
"2020","Quintile 2","18","Scotland","Woman","1150","4790","0.241"
"2021","Quintile 2","18","Scotland","Woman","1420","5180","0.274"
"2022","Quintile 2","18","Scotland","Woman","1400","5040","0.278"
"2023","Quintile 2","18","Scotland","Woman","1300","5140","0.253"
"2024","Quintile 2","18","Scotland","Woman","1430","5390","0.266"
"2015","Quintile 2","18","Wales","Woman","960","3660","0.261"
"2016","Quintile 2","18","Wales","Woman","1010","3510","0.28700000000000003"
"2017","Quintile 2","18","Wales","Woman","940","3430","0.273"
"2018","Quintile 2","18","Wales","Woman","880","3380","0.26"
"2019","Quintile 2","18","Wales","Woman","910","3240","0.28200000000000003"
"2020","Quintile 2","18","Wales","Woman","940","3130","0.3"
"2021","Quintile 2","18","Wales","Woman","1090","3210","0.34"
"2022","Quintile 2","18","Wales","Woman","1000","3300","0.304"
"2023","Quintile 2","18","Wales","Woman","990","3480","0.28400000000000003"
"2024","Quintile 2","18","Wales","Woman","950","3300","0.28700000000000003"
"2015","Quintile 3","18","Northern Ireland","Woman","980","2560","0.383"
"2016","Quintile 3","18","Northern Ireland","Woman","960","2520","0.381"
"2017","Quintile 3","18","Northern Ireland","Woman","990","2510","0.396"
"2018","Quintile 3","18","Northern Ireland","Woman","910","2360","0.386"
"2019","Quintile 3","18","Northern Ireland","Woman","910","2320","0.394"
"2020","Quintile 3","18","Northern Ireland","Woman","1050","2300","0.453"
"2021","Quintile 3","18","Northern Ireland","Woman","1120","2310","0.487"
"2022","Quintile 3","18","Northern Ireland","Woman","1120","2340","0.47700000000000004"
"2023","Quintile 3","18","Northern Ireland","Woman","1160","2370","0.489"
"2024","Quintile 3","18","Northern Ireland","Woman","1080","2410","0.449"
"2015","Quintile 3","18","England","Woman","20550","60130","0.342"
"2016","Quintile 3","18","England","Woman","21160","58980","0.359"
"2017","Quintile 3","18","England","Woman","20970","57470","0.365"
"2018","Quintile 3","18","England","Woman","20830","56130","0.371"
"2019","Quintile 3","18","England","Woman","21090","55170","0.382"
"2020","Quintile 3","18","England","Woman","21790","54200","0.402"
"2021","Quintile 3","18","England","Woman","24560","55800","0.44"
"2022","Quintile 3","18","England","Woman","23960","57250","0.419"
"2023","Quintile 3","18","England","Woman","23610","58640","0.403"
"2024","Quintile 3","18","England","Woman","23850","59680","0.4"
"2015","Quintile 3","18","Scotland","Woman","1600","5650","0.28300000000000003"
"2016","Quintile 3","18","Scotland","Woman","1610","5610","0.28800000000000003"
"2017","Quintile 3","18","Scotland","Woman","1570","5260","0.299"
"2018","Quintile 3","18","Scotland","Woman","1600","5200","0.308"
"2019","Quintile 3","18","Scotland","Woman","1520","5040","0.302"
"2020","Quintile 3","18","Scotland","Woman","1580","4920","0.32"
"2021","Quintile 3","18","Scotland","Woman","1770","5030","0.352"
"2022","Quintile 3","18","Scotland","Woman","1700","5180","0.328"
"2023","Quintile 3","18","Scotland","Woman","1690","5260","0.321"
"2024","Quintile 3","18","Scotland","Woman","1640","5300","0.31"
"2015","Quintile 3","18","Wales","Woman","1120","3600","0.312"
"2016","Quintile 3","18","Wales","Woman","1110","3290","0.338"
"2017","Quintile 3","18","Wales","Woman","1140","3350","0.34"
"2018","Quintile 3","18","Wales","Woman","1130","3200","0.353"
"2019","Quintile 3","18","Wales","Woman","1050","3090","0.34"
"2020","Quintile 3","18","Wales","Woman","1060","3030","0.34800000000000003"
"2021","Quintile 3","18","Wales","Woman","1230","3120","0.396"
"2022","Quintile 3","18","Wales","Woman","1190","3170","0.375"
"2023","Quintile 3","18","Wales","Woman","1120","3280","0.341"
"2024","Quintile 3","18","Wales","Woman","1150","3160","0.364"
"2015","Quintile 4","18","Northern Ireland","Woman","1050","2530","0.41500000000000004"
"2016","Quintile 4","18","Northern Ireland","Woman","1130","2480","0.455"
"2017","Quintile 4","18","Northern Ireland","Woman","1090","2440","0.446"
"2018","Quintile 4","18","Northern Ireland","Woman","1010","2300","0.439"
"2019","Quintile 4","18","Northern Ireland","Woman","1080","2240","0.483"
"2020","Quintile 4","18","Northern Ireland","Woman","1270","2230","0.5690000000000001"
"2021","Quintile 4","18","Northern Ireland","Woman","1290","2230","0.577"
"2022","Quintile 4","18","Northern Ireland","Woman","1270","2260","0.562"
"2023","Quintile 4","18","Northern Ireland","Woman","1300","2290","0.5660000000000001"
"2024","Quintile 4","18","Northern Ireland","Woman","1250","2340","0.533"
"2015","Quintile 4","18","England","Woman","24060","59300","0.406"
"2016","Quintile 4","18","England","Woman","24430","58470","0.418"
"2017","Quintile 4","18","England","Woman","24710","58030","0.426"
"2018","Quintile 4","18","England","Woman","24020","56300","0.427"
"2019","Quintile 4","18","England","Woman","23960","55030","0.435"
"2020","Quintile 4","18","England","Woman","24440","53500","0.457"
"2021","Quintile 4","18","England","Woman","27090","55450","0.488"
"2022","Quintile 4","18","England","Woman","26830","57440","0.467"
"2023","Quintile 4","18","England","Woman","26400","58400","0.452"
"2024","Quintile 4","18","England","Woman","26550","58770","0.452"
"2015","Quintile 4","18","Scotland","Woman","2080","6160","0.337"
"2016","Quintile 4","18","Scotland","Woman","2100","6090","0.34500000000000003"
"2017","Quintile 4","18","Scotland","Woman","2110","5620","0.375"
"2018","Quintile 4","18","Scotland","Woman","2090","5510","0.38"
"2019","Quintile 4","18","Scotland","Woman","2070","5230","0.395"
"2020","Quintile 4","18","Scotland","Woman","2050","5300","0.387"
"2021","Quintile 4","18","Scotland","Woman","2420","5560","0.435"
"2022","Quintile 4","18","Scotland","Woman","2430","5610","0.433"
"2023","Quintile 4","18","Scotland","Woman","2430","5880","0.41400000000000003"
"2024","Quintile 4","18","Scotland","Woman","2450","5980","0.40900000000000003"
"2015","Quintile 4","18","Wales","Woman","1460","3580","0.40700000000000003"
"2016","Quintile 4","18","Wales","Woman","1450","3520","0.41000000000000003"
"2017","Quintile 4","18","Wales","Woman","1370","3530","0.389"
"2018","Quintile 4","18","Wales","Woman","1330","3300","0.403"
"2019","Quintile 4","18","Wales","Woman","1340","3220","0.417"
"2020","Quintile 4","18","Wales","Woman","1250","3050","0.41000000000000003"
"2021","Quintile 4","18","Wales","Woman","1440","3100","0.466"
"2022","Quintile 4","18","Wales","Woman","1410","3180","0.442"
"2023","Quintile 4","18","Wales","Woman","1340","3270","0.41100000000000003"
"2024","Quintile 4","18","Wales","Woman","1400","3190","0.438"
"2015","Quintile 5","18","Northern Ireland","Woman","1070","2100","0.509"
"2016","Quintile 5","18","Northern Ireland","Woman","1120","2040","0.547"
"2017","Quintile 5","18","Northern Ireland","Woman","1090","2010","0.541"
"2018","Quintile 5","18","Northern Ireland","Woman","1000","1890","0.531"
"2019","Quintile 5","18","Northern Ireland","Woman","990","1840","0.536"
"2020","Quintile 5","18","Northern Ireland","Woman","1070","1830","0.587"
"2021","Quintile 5","18","Northern Ireland","Woman","1190","1850","0.641"
"2022","Quintile 5","18","Northern Ireland","Woman","1200","1880","0.638"
"2023","Quintile 5","18","Northern Ireland","Woman","1100","1910","0.5750000000000001"
"2024","Quintile 5","18","Northern Ireland","Woman","1150","1950","0.592"
"2015","Quintile 5","18","England","Woman","29780","62780","0.47400000000000003"
"2016","Quintile 5","18","England","Woman","30380","62250","0.488"
"2017","Quintile 5","18","England","Woman","30610","62090","0.493"
"2018","Quintile 5","18","England","Woman","29990","60770","0.494"
"2019","Quintile 5","18","England","Woman","29660","59570","0.498"
"2020","Quintile 5","18","England","Woman","29840","58160","0.513"
"2021","Quintile 5","18","England","Woman","33590","60120","0.559"
"2022","Quintile 5","18","England","Woman","33120","61900","0.535"
"2023","Quintile 5","18","England","Woman","32610","62590","0.521"
"2024","Quintile 5","18","England","Woman","32570","62810","0.518"
"2015","Quintile 5","18","Scotland","Woman","2760","6100","0.452"
"2016","Quintile 5","18","Scotland","Woman","2750","5990","0.459"
"2017","Quintile 5","18","Scotland","Woman","2820","6110","0.461"
"2018","Quintile 5","18","Scotland","Woman","2790","5800","0.48"
"2019","Quintile 5","18","Scotland","Woman","2820","5670","0.497"
"2020","Quintile 5","18","Scotland","Woman","2780","5570","0.5"
"2021","Quintile 5","18","Scotland","Woman","3130","5710","0.548"
"2022","Quintile 5","18","Scotland","Woman","3070","5960","0.515"
"2023","Quintile 5","18","Scotland","Woman","3050","5940","0.513"
"2024","Quintile 5","18","Scotland","Woman","3210","6160","0.522"
"2015","Quintile 5","18","Wales","Woman","1660","3580","0.462"
"2016","Quintile 5","18","Wales","Woman","1700","3630","0.468"
"2017","Quintile 5","18","Wales","Woman","1630","3340","0.487"
"2018","Quintile 5","18","Wales","Woman","1600","3350","0.47800000000000004"
"2019","Quintile 5","18","Wales","Woman","1610","3080","0.523"
"2020","Quintile 5","18","Wales","Woman","1610","3210","0.501"
"2021","Quintile 5","18","Wales","Woman","1820","3110","0.584"
