"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2015","Quintile 1","18","Northern Ireland","Woman","490","2420","0.203"
"2016","Quintile 1","18","Northern Ireland","Woman","480","2390","0.199"
"2017","Quintile 1","18","Northern Ireland","Woman","520","2390","0.218"
"2018","Quintile 1","18","Northern Ireland","Woman","440","2260","0.193"
"2019","Quintile 1","18","Northern Ireland","Woman","460","2220","0.209"
"2020","Quintile 1","18","Northern Ireland","Woman","590","2220","0.266"
"2021","Quintile 1","18","Northern Ireland","Woman","630","2240","0.279"
"2022","Quintile 1","18","Northern Ireland","Woman","590","2270","0.261"
"2023","Quintile 1","18","Northern Ireland","Woman","610","2300","0.267"
"2024","Quintile 1","18","Northern Ireland","Woman","630","2320","0.272"
"2015","Quintile 1","18","England","Woman","13560","69560","0.195"
"2016","Quintile 1","18","England","Woman","13810","66820","0.20700000000000002"
"2017","Quintile 1","18","England","Woman","14200","66420","0.214"
"2018","Quintile 1","18","England","Woman","14140","65220","0.217"
"2019","Quintile 1","18","England","Woman","14960","64840","0.231"
"2020","Quintile 1","18","England","Woman","16610","63950","0.26"
"2021","Quintile 1","18","England","Woman","19140","66260","0.289"
"2022","Quintile 1","18","England","Woman","18630","68450","0.272"
"2023","Quintile 1","18","England","Woman","18180","71490","0.254"
"2024","Quintile 1","18","England","Woman","19490","72740","0.268"
"2015","Quintile 1","18","Scotland","Woman","740","5950","0.124"
"2016","Quintile 1","18","Scotland","Woman","820","5750","0.14300000000000002"
"2017","Quintile 1","18","Scotland","Woman","870","5630","0.155"
"2018","Quintile 1","18","Scotland","Woman","900","5620","0.161"
"2019","Quintile 1","18","Scotland","Woman","950","5530","0.171"
"2020","Quintile 1","18","Scotland","Woman","1000","5430","0.185"
"2021","Quintile 1","18","Scotland","Woman","1090","5300","0.20500000000000002"
"2022","Quintile 1","18","Scotland","Woman","1200","5600","0.213"
"2023","Quintile 1","18","Scotland","Woman","1130","5760","0.195"
"2024","Quintile 1","18","Scotland","Woman","1260","5900","0.213"
"2015","Quintile 1","18","Wales","Woman","660","3890","0.169"
"2016","Quintile 1","18","Wales","Woman","670","3810","0.17500000000000002"
"2017","Quintile 1","18","Wales","Woman","660","3680","0.179"
"2018","Quintile 1","18","Wales","Woman","690","3500","0.198"
"2019","Quintile 1","18","Wales","Woman","640","3480","0.184"
"2020","Quintile 1","18","Wales","Woman","710","3310","0.214"
"2021","Quintile 1","18","Wales","Woman","850","3430","0.247"
"2022","Quintile 1","18","Wales","Woman","810","3570","0.226"
"2023","Quintile 1","18","Wales","Woman","750","3790","0.199"
"2024","Quintile 1","18","Wales","Woman","710","3770","0.188"
"2015","Quintile 2","18","Northern Ireland","Woman","740","2550","0.29"
"2016","Quintile 2","18","Northern Ireland","Woman","800","2500","0.32"
"2017","Quintile 2","18","Northern Ireland","Woman","790","2470","0.319"
"2018","Quintile 2","18","Northern Ireland","Woman","700","2330","0.301"
"2019","Quintile 2","18","Northern Ireland","Woman","720","2290","0.312"
"2020","Quintile 2","18","Northern Ireland","Woman","820","2300","0.359"
"2021","Quintile 2","18","Northern Ireland","Woman","980","2310","0.422"
"2022","Quintile 2","18","Northern Ireland","Woman","920","2330","0.396"
"2023","Quintile 2","18","Northern Ireland","Woman","970","2380","0.40900000000000003"
"2024","Quintile 2","18","Northern Ireland","Woman","950","2430","0.391"
"2015","Quintile 2","18","England","Woman","15560","62120","0.25"
"2016","Quintile 2","18","England","Woman","15750","60550","0.26"
"2017","Quintile 2","18","England","Woman","15920","60070","0.265"
"2018","Quintile 2","18","England","Woman","15890","58260","0.273"
"2019","Quintile 2","18","England","Woman","16380","57550","0.28500000000000003"
"2020","Quintile 2","18","England","Woman","17820","57070","0.312"
"2021","Quintile 2","18","England","Woman","20590","58380","0.353"
"2022","Quintile 2","18","England","Woman","19690","59960","0.328"
"2023","Quintile 2","18","England","Woman","19250","62230","0.309"
"2024","Quintile 2","18","England","Woman","20210","62940","0.321"
"2015","Quintile 2","18","Scotland","Woman","1180","5490","0.215"
"2016","Quintile 2","18","Scotland","Woman","1240","5200","0.23800000000000002"
"2017","Quintile 2","18","Scotland","Woman","1210","5190","0.233"
"2018","Quintile 2","18","Scotland","Woman","1200","5200","0.231"
"2019","Quintile 2","18","Scotland","Woman","1110","4920","0.224"
"2020","Quintile 2","18","Scotland","Woman","1140","4790","0.23900000000000002"
"2021","Quintile 2","18","Scotland","Woman","1290","5180","0.249"
"2022","Quintile 2","18","Scotland","Woman","1390","5040","0.275"
"2023","Quintile 2","18","Scotland","Woman","1290","5140","0.25"
"2024","Quintile 2","18","Scotland","Woman","1420","5390","0.263"
"2015","Quintile 2","18","Wales","Woman","840","3660","0.231"
"2016","Quintile 2","18","Wales","Woman","910","3510","0.259"
"2017","Quintile 2","18","Wales","Woman","830","3430","0.243"
"2018","Quintile 2","18","Wales","Woman","800","3380","0.23700000000000002"
"2019","Quintile 2","18","Wales","Woman","820","3240","0.254"
