"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2015","Quintile 1","18","Northern Ireland","Woman","350","2290","0.152"
"2016","Quintile 1","18","Northern Ireland","Woman","360","2260","0.159"
"2017","Quintile 1","18","Northern Ireland","Woman","360","2260","0.16"
"2018","Quintile 1","18","Northern Ireland","Woman","350","2150","0.161"
"2019","Quintile 1","18","Northern Ireland","Woman","350","2120","0.165"
"2020","Quintile 1","18","Northern Ireland","Woman","450","2120","0.21"
"2021","Quintile 1","18","Northern Ireland","Woman","540","2140","0.251"
"2022","Quintile 1","18","Northern Ireland","Woman","520","2180","0.23700000000000002"
"2023","Quintile 1","18","Northern Ireland","Woman","540","2210","0.245"
"2024","Quintile 1","18","Northern Ireland","Woman","520","2210","0.23500000000000001"
"2015","Quintile 1","18","England","Woman","10940","60230","0.182"
"2016","Quintile 1","18","England","Woman","11000","57180","0.192"
"2017","Quintile 1","18","England","Woman","11230","56440","0.199"
"2018","Quintile 1","18","England","Woman","11170","54590","0.20500000000000002"
"2019","Quintile 1","18","England","Woman","11490","53600","0.214"
"2020","Quintile 1","18","England","Woman","12470","52620","0.23700000000000002"
"2021","Quintile 1","18","England","Woman","14260","54160","0.263"
"2022","Quintile 1","18","England","Woman","13920","56120","0.248"
"2023","Quintile 1","18","England","Woman","13440","58180","0.231"
"2024","Quintile 1","18","England","Woman","14090","59270","0.23800000000000002"
"2015","Quintile 1","18","Scotland","Woman","340","2960","0.116"
"2016","Quintile 1","18","Scotland","Woman","340","2830","0.11900000000000001"
"2017","Quintile 1","18","Scotland","Woman","400","2700","0.146"
"2018","Quintile 1","18","Scotland","Woman","430","2790","0.153"
"2019","Quintile 1","18","Scotland","Woman","400","2710","0.147"
"2020","Quintile 1","18","Scotland","Woman","410","2580","0.16"
"2021","Quintile 1","18","Scotland","Woman","500","2590","0.193"
"2022","Quintile 1","18","Scotland","Woman","560","2640","0.211"
"2023","Quintile 1","18","Scotland","Woman","550","2840","0.194"
"2024","Quintile 1","18","Scotland","Woman","630","2960","0.212"
"2015","Quintile 1","18","Wales","Woman","770","4230","0.182"
"2016","Quintile 1","18","Wales","Woman","800","4140","0.193"
"2017","Quintile 1","18","Wales","Woman","780","3960","0.196"
"2018","Quintile 1","18","Wales","Woman","770","3930","0.195"
"2019","Quintile 1","18","Wales","Woman","750","3740","0.2"
"2020","Quintile 1","18","Wales","Woman","810","3640","0.223"
"2021","Quintile 1","18","Wales","Woman","950","3720","0.255"
"2022","Quintile 1","18","Wales","Woman","940","3940","0.23800000000000002"
"2023","Quintile 1","18","Wales","Woman","910","4140","0.219"
"2024","Quintile 1","18","Wales","Woman","820","4020","0.20500000000000002"
"2015","Quintile 2","18","Northern Ireland","Woman","360","1490","0.242"
"2016","Quintile 2","18","Northern Ireland","Woman","400","1450","0.273"
"2017","Quintile 2","18","Northern Ireland","Woman","420","1450","0.289"
"2018","Quintile 2","18","Northern Ireland","Woman","350","1360","0.26"
"2019","Quintile 2","18","Northern Ireland","Woman","410","1330","0.305"
"2020","Quintile 2","18","Northern Ireland","Woman","440","1330","0.33"
"2021","Quintile 2","18","Northern Ireland","Woman","490","1330","0.366"
"2022","Quintile 2","18","Northern Ireland","Woman","470","1350","0.34500000000000003"
"2023","Quintile 2","18","Northern Ireland","Woman","470","1370","0.34500000000000003"
"2024","Quintile 2","18","Northern Ireland","Woman","450","1410","0.321"
"2015","Quintile 2","18","England","Woman","14990","60170","0.249"
"2016","Quintile 2","18","England","Woman","15240","58620","0.26"
"2017","Quintile 2","18","England","Woman","15150","57780","0.262"
"2018","Quintile 2","18","England","Woman","15090","55940","0.27"
"2019","Quintile 2","18","England","Woman","15020","54490","0.276"
"2020","Quintile 2","18","England","Woman","15990","53580","0.298"
"2021","Quintile 2","18","England","Woman","18340","55240","0.332"
"2022","Quintile 2","18","England","Woman","17710","57140","0.31"
"2023","Quintile 2","18","England","Woman","17260","58960","0.293"
"2024","Quintile 2","18","England","Woman","17840","59560","0.3"
"2015","Quintile 2","18","Scotland","Woman","810","4830","0.168"
"2016","Quintile 2","18","Scotland","Woman","900","4510","0.199"
"2017","Quintile 2","18","Scotland","Woman","890","4500","0.199"
"2018","Quintile 2","18","Scotland","Woman","880","4390","0.201"
"2019","Quintile 2","18","Scotland","Woman","890","4230","0.211"
"2020","Quintile 2","18","Scotland","Woman","960","4160","0.229"
"2021","Quintile 2","18","Scotland","Woman","1030","4270","0.24"
"2022","Quintile 2","18","Scotland","Woman","1100","4360","0.252"
"2023","Quintile 2","18","Scotland","Woman","1070","4390","0.244"
